Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)  ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1)
2.00E-07,0.977041,1.004661144,1.002327863,0.002325157,,2.00E-07,0.93472,0.998451136,0.999225268,-0.000775032,,2.00E-07,0.961783,1.00180094,1.000900065,0.00089966,,2.00E-07,0.968653,1.002055519,1.001027232,0.001026704,,2.00E-07,0.944848,0.996706647,0.998351965,-0.001649394,,2.00E-07,0.956951,0.998557913,0.999278696,-0.000721564,,2.00E-07,0.967546,0.999967961,0.99998398,-1.60197E-05,,2.00E-07,0.97003,1.000026804,1.000013402,1.34018E-05,,2.00E-07,0.970711,0.995131528,0.997562794,-0.002440181,,2.00E-07,0.970721,0.992091646,0.996037974,-0.003969895,,2.00E-07,0.957594,0.989019093,0.99449439,-0.005520821
2.13E-07,0.978071,1.005720261,1.002856052,0.002851981,,2.13E-07,0.934604,0.998327227,0.999163263,-0.000837087,,2.13E-07,0.957445,0.997282445,0.998640298,-0.001360627,,2.13E-07,0.974469,1.008072075,1.004027925,0.004019835,,2.13E-07,0.946436,0.998381805,0.999190575,-0.000809753,,2.13E-07,0.95577,0.997325564,0.998661887,-0.001339009,,2.13E-07,0.960434,0.992617642,0.996301983,-0.003704871,,2.13E-07,0.972412,1.002482464,1.001240463,0.001239694,,2.13E-07,0.969406,0.993793697,0.996892019,-0.003112821,,2.13E-07,0.964818,0.98605869,0.993004879,-0.007019701,,2.13E-07,0.966085,0.997788739,0.998893758,-0.001106855
2.38E-07,0.977577,1.005212296,1.002602761,0.00259938,,2.38E-07,0.936778,1.000649455,1.000324675,0.000324622,,2.38E-07,0.960968,1.00095203,1.000475902,0.000475788,,2.38E-07,0.972407,1.00593897,1.002965089,0.002960702,,2.38E-07,0.941989,0.993690729,0.996840373,-0.003164629,,2.38E-07,0.959389,1.001101913,1.000550805,0.000550653,,2.38E-07,0.96802,1.000457845,1.000228896,0.00022887,,2.38E-07,0.969407,0.999384539,0.999692222,-0.000307825,,2.38E-07,0.971021,0.995449326,0.997722069,-0.00228053,,2.38E-07,0.969968,0.991322069,0.99565158,-0.004357902,,2.38E-07,0.965468,0.997151491,0.99857473,-0.001426287
2.63E-07,0.975483,1.003059101,1.001528382,0.001527216,,2.63E-07,0.934673,0.998400931,0.999200146,-0.000800174,,2.63E-07,0.963722,1.003820618,1.001908488,0.001906669,,2.63E-07,0.972766,1.006310349,1.003150213,0.003145261,,2.63E-07,0.945963,0.997882844,0.998940861,-0.0010597,,2.63E-07,0.961073,1.002859131,1.001428545,0.001427526,,2.63E-07,0.966026,0.998397027,0.999198192,-0.00080213,,2.63E-07,0.96786,0.9977897,0.998894239,-0.001106373,,2.63E-07,0.96828,0.99263937,0.996312888,-0.003693926,,2.63E-07,0.974204,0.995651325,0.997823294,-0.002179079,,2.63E-07,0.965028,0.996697052,0.99834716,-0.001654207
2.88E-07,0.980493,1.008210729,1.004096972,0.004088602,,2.88E-07,0.93269,0.996282726,0.998139633,-0.0018621,,2.88E-07,0.962881,1.002944626,1.001471231,0.00147015,,2.88E-07,0.976381,1.010050007,1.005012441,0.004999921,,2.88E-07,0.942894,0.9946454,0.997319106,-0.002684494,,2.88E-07,0.956742,0.998339826,0.999169568,-0.000830777,,2.88E-07,0.962005,0.994241285,0.997116485,-0.00288768,,2.88E-07,0.966924,0.996824755,0.998411115,-0.001590148,,2.88E-07,0.965438,0.989725873,0.994849674,-0.005163635,,2.88E-07,0.973809,0.995247629,0.997620985,-0.00238185,,2.88E-07,0.968425,1.000205531,1.00010276,0.000102755
3.13E-07,0.976402,1.00400408,1.00200004,0.001998043,,3.13E-07,0.936326,1.000166636,1.000083315,8.33113E-05,,3.13E-07,0.958698,0.998587579,0.99929354,-0.000706709,,3.13E-07,0.967562,1.000926897,1.000463341,0.000463234,,3.13E-07,0.944943,0.996806861,0.998402154,-0.001599124,,3.13E-07,0.954557,0.996059825,0.998027968,-0.001973979,,3.13E-07,0.965644,0.998002226,0.999000614,-0.000999886,,3.13E-07,0.974793,1.004937093,1.002465507,0.002462473,,3.13E-07,0.971788,0.996235622,0.998116036,-0.00188574,,3.13E-07,0.971188,0.992568927,0.996277535,-0.00372941,,3.13E-07,0.966276,0.997986007,0.998992496,-0.001008012
3.38E-07,0.976616,1.00422413,1.002109839,0.002107617,,3.38E-07,0.934066,0.997752545,0.99887564,-0.001124992,,3.38E-07,0.9606,1.000568718,1.000284319,0.000284278,,3.38E-07,0.968954,1.002366898,1.00118275,0.001182051,,3.38E-07,0.941882,0.993577856,0.996783756,-0.003221427,,3.38E-07,0.959799,1.00152974,1.000764578,0.000764285,,3.38E-07,0.965701,0.998061136,0.999030098,-0.000970373,,3.38E-07,0.96878,0.99873815,0.999368876,-0.000631324,,3.38E-07,0.968856,0.993229861,0.996609182,-0.00339658,,3.38E-07,0.970394,0.991757447,0.995870196,-0.004138355,,3.38E-07,0.967532,0.999283225,0.999641548,-0.000358516
3.63E-07,0.981764,1.009517659,1.00474756,0.004736326,,3.63E-07,0.935519,0.999304613,0.999652246,-0.000347814,,3.63E-07,0.958853,0.998749029,0.999374319,-0.000625877,,3.63E-07,0.972644,1.006184142,1.003087305,0.003082549,,3.63E-07,0.94616,0.998090657,0.999044872,-0.000955584,,3.63E-07,0.956521,0.998109217,0.999054161,-0.000946287,,3.63E-07,0.967332,0.99974679,0.999873387,-0.000126621,,3.63E-07,0.97003,1.000026804,1.000013402,1.34018E-05,,3.63E-07,0.965722,0.990017018,0.994995989,-0.005016573,,3.63E-07,0.970004,0.991358861,0.995670056,-0.004339345,,3.63E-07,0.963507,0.995126138,0.997560092,-0.002442889
3.88E-07,0.976077,1.003669893,1.001833266,0.001831588,,3.88E-07,0.933968,0.997647863,0.998823239,-0.001177454,,3.88E-07,0.960965,1.000948905,1.00047434,0.000474228,,3.88E-07,0.976843,1.010527938,1.005250187,0.005236453,,3.88E-07,0.944112,0.995930251,0.997963051,-0.002039027,,3.88E-07,0.958106,0.99976313,0.999881558,-0.000118449,,3.88E-07,0.964951,0.997286004,0.99864208,-0.001358843,,3.88E-07,0.967932,0.997863926,0.998931392,-0.001069179,,3.88E-07,0.970756,0.99517766,0.997585916,-0.002417003,,3.88E-07,0.971926,0.993323175,0.996655996,-0.003349608,,3.88E-07,0.963124,0.994730569,0.997361805,-0.002641682
4.13E-07,0.977718,1.005357282,1.002675063,0.002671492,,4.13E-07,0.933355,0.996993067,0.998495402,-0.001505731,,4.13E-07,0.961625,1.001636366,1.000817849,0.000817514,,4.13E-07,0.973612,1.007185522,1.00358633,0.003579915,,4.13E-07,0.94347,0.995253014,0.997623684,-0.002379144,,4.13E-07,0.957178,0.998794782,0.999397209,-0.000602972,,4.13E-07,0.966608,0.998998529,0.999499139,-0.000500986,,4.13E-07,0.967461,0.997378361,0.99868832,-0.001312541,,4.13E-07,0.96833,0.992690628,0.996338611,-0.003668108,,4.13E-07,0.968077,0.989389438,0.994680571,-0.005333628,,4.13E-07,0.966318,0.998029386,0.999014207,-0.000986279
4.63E-07,0.975455,1.003030309,1.001514009,0.001512864,,4.63E-07,0.934232,0.997929863,0.998964395,-0.001036141,,4.63E-07,0.961983,1.002009262,1.001004127,0.001003623,,4.63E-07,0.973687,1.007263108,1.003624984,0.00361843,,4.63E-07,0.945548,0.997445067,0.998721716,-0.001279101,,4.63E-07,0.958048,0.999702609,0.999851293,-0.000148718,,4.63E-07,0.962445,0.994696029,0.997344489,-0.002659043,,4.63E-07,0.967495,0.997413413,0.998705869,-0.001294969,,4.63E-07,0.966904,0.991228754,0.995604718,-0.00440497,,4.63E-07,0.970951,0.99232671,0.996155967,-0.003851441,,4.63E-07,0.965263,0.996939764,0.99846871,-0.001532464
5.13E-07,0.98093,1.008660083,1.004320707,0.0043114,,5.13E-07,0.936662,1.000525546,1.000262738,0.000262704,,5.13E-07,0.961364,1.001364507,1.000682021,0.000681788,,5.13E-07,0.97308,1.006635177,1.003312103,0.003306631,,5.13E-07,0.945055,0.996925008,0.99846132,-0.001539865,,5.13E-07,0.959306,1.001015305,1.000507524,0.000507395,,5.13E-07,0.964212,0.996522241,0.998259606,-0.00174191,,5.13E-07,0.970165,1.000165979,1.000082986,8.29825E-05,,5.13E-07,0.968147,0.992503024,0.99624446,-0.00376261,,5.13E-07,0.970043,0.99139872,0.995690072,-0.004319242,,5.13E-07,0.962285,0.993864036,0.996927297,-0.003077433
